go: downloading github.com/aws/aws-sdk-go-v2/feature/dynamodb/attributevalue v1.20.39
go: downloading github.com/aws/aws-sdk-go-v2 v1.41.7
go: downloading github.com/aws/aws-sdk-go-v2/service/dynamodb v1.57.3
go: downloading github.com/aws/smithy-go v1.25.1
go: downloading github.com/aws/aws-sdk-go-v2/internal/configsources v1.4.23
go: downloading github.com/aws/aws-sdk-go-v2/service/dynamodbstreams v1.32.16
go: downloading github.com/aws/aws-sdk-go-v2/internal/endpoints/v2 v2.7.23
?   	main	[no test files]
goos: linux
goarch: arm64
pkg: main/benchmarks
Benchmark_DynamodbAttribute_MarshalMap_User1KB-64        	 1962282	     36793 ns/op	   22971 B/op	     223 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User1KB-64      	 3811622	     18888 ns/op	    3078 B/op	      31 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User10KB-64       	 2702415	     26658 ns/op	   15905 B/op	     160 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User10KB-64     	 4867934	     14784 ns/op	    2727 B/op	      33 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User100KB-64      	 2916961	     24644 ns/op	   14204 B/op	     145 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User100KB-64    	 4999470	     14410 ns/op	    2654 B/op	      33 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User300KB-64      	 2030506	     35505 ns/op	   20935 B/op	     209 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User300KB-64    	 3733430	     19293 ns/op	    3094 B/op	      39 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_String-64         	13746702	      5218 ns/op	    2968 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_String-64       	16379299	      4398 ns/op	     544 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int-64            	13948473	      5161 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int-64          	16812085	      4280 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int8-64           	13815004	      5220 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int8-64         	16953403	      4250 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int16-64          	13744580	      5241 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int16-64        	17013882	      4227 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int32-64          	13684909	      5255 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int32-64        	16897280	      4266 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int64-64          	13750717	      5242 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int64-64        	16615539	      4330 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint-64           	13825405	      5211 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint-64         	17106416	      4209 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint8-64          	13713844	      5257 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint8-64        	18081662	      3977 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint16-64         	13644961	      5291 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint16-64       	17150054	      4200 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint32-64         	13663711	      5277 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint32-64       	17393594	      4147 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint64-64         	13588624	      5289 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint64-64       	17102410	      4208 ns/op	     464 B/op	      23 allocs/op
PASS
ok  	main/benchmarks	2160.486s
