?   	main	[no test files]
goos: linux
goarch: arm64
pkg: main/benchmarks
Benchmark_DynamodbAttribute_MarshalMap_User1KB-64        	 1977835	     36491 ns/op	   22394 B/op	     219 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User1KB-64      	 3749400	     19209 ns/op	    3126 B/op	      36 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User10KB-64       	 2138865	     33671 ns/op	   19867 B/op	     200 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User10KB-64     	 3913328	     18396 ns/op	    3030 B/op	      38 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User100KB-64      	 2517387	     28605 ns/op	   17285 B/op	     172 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User100KB-64    	 4624556	     15576 ns/op	    2807 B/op	      34 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User300KB-64      	 2735982	     26298 ns/op	   15568 B/op	     157 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User300KB-64    	 4858180	     14810 ns/op	    2726 B/op	      34 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_String-64         	13872006	      5191 ns/op	    2968 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_String-64       	16355397	      4402 ns/op	     544 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int-64            	14026453	      5133 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int-64          	16781662	      4291 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int8-64           	13952046	      5177 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int8-64         	16927092	      4252 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int16-64          	13758822	      5218 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int16-64        	16982329	      4237 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int32-64          	13785339	      5224 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int32-64        	16797925	      4286 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int64-64          	13833190	      5210 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int64-64        	16587225	      4338 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint-64           	13936099	      5175 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint-64         	17064246	      4213 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint8-64          	13760047	      5231 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint8-64        	18192120	      3955 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint16-64         	13710788	      5251 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint16-64       	17335674	      4155 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint32-64         	13708957	      5248 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint32-64       	17295050	      4159 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint64-64         	13746992	      5233 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint64-64       	16933482	      4246 ns/op	     464 B/op	      23 allocs/op
PASS
ok  	main/benchmarks	2159.908s
