?   	main	[no test files]
goos: linux
goarch: amd64
pkg: main/benchmarks
cpu: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz
Benchmark_DynamodbAttribute_MarshalMap_User1KB-64        	 3490191	     20534 ns/op	   21922 B/op	     214 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User1KB-64      	 7779534	      9245 ns/op	    3014 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User10KB-64       	 3444434	     20856 ns/op	   22154 B/op	     219 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User10KB-64     	 7598654	      9485 ns/op	    3046 B/op	      32 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User100KB-64      	 3527464	     20407 ns/op	   21480 B/op	     213 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User100KB-64    	 7607203	      9468 ns/op	    3031 B/op	      33 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_User300KB-64      	 3660882	     19667 ns/op	   19885 B/op	     200 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_User300KB-64    	 7449684	      9665 ns/op	    3046 B/op	      39 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_String-64         	23005740	      3118 ns/op	    2968 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_String-64       	31542063	      2278 ns/op	     544 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int-64            	23835603	      3023 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int-64          	31370461	      2292 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int8-64           	23663235	      3058 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int8-64         	32960320	      2185 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int16-64          	23328591	      3092 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int16-64        	32581662	      2211 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int32-64          	23239783	      3093 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int32-64        	31980331	      2252 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Int64-64          	23340642	      3093 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Int64-64        	31537368	      2284 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint-64           	23567624	      3058 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint-64         	33089389	      2171 ns/op	     464 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint8-64          	23073722	      3101 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint8-64        	34337751	      2096 ns/op	     408 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint16-64         	23055086	      3129 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint16-64       	33596967	      2137 ns/op	     416 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint32-64         	22952973	      3132 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint32-64       	33043750	      2184 ns/op	     432 B/op	      23 allocs/op
Benchmark_DynamodbAttribute_MarshalMap_Uint64-64         	23002999	      3133 ns/op	    2952 B/op	      30 allocs/op
Benchmark_DynamodbAttribute_UnmarshalMap_Uint64-64       	32321236	      2235 ns/op	     464 B/op	      23 allocs/op
PASS
ok  	main/benchmarks	2159.501s
